研修プログラムコード,コース番号,コマ記号,表示順,所要時間,タイトル,説明
agent,51,B0,1,0.5,飲食店舗運営職(店長)業務のAIエージェント活用実演・要点解説,講師が本コースで扱う一連の業務工程をAIエージェントに委任し、実行から検収までを通しで実演します
agent,51,B11,2,0.5,店長業務の工程分解・基礎,自動化する定型業務の選定と工程分解(入力→手順→出力→判断基準)。題材: シフト募集・変更連絡文 など
agent,51,B12,3,1.0,店長業務の業務指示書作成・実践,AIエージェントに委任するための業務指示書を作成 — 手順・判断基準・例外対応の言語化。題材: クレーム対応文書 / 新メニュー告知文 など
agent,51,B21,4,0.5,店長業務エージェントの設定・基礎,作成した業務指示書と参照資料をAIエージェントに実装します(手順・ナレッジの登録)
agent,51,B22,5,0.5,店長業務エージェントの設定・実践,マスキング済み又はダミーのデータでテスト実行し、動作を確認・修正します
agent,51,B3,6,1.0,AIエージェントによる店舗文書作成の自動化演習①,シフト募集・変更連絡文 / クレーム対応文書 / 新メニュー告知文 の一連工程を委任し、実行結果を検収・修正します
agent,51,B4,7,1.0,AIエージェントによる店舗運営の自動化演習②,新人教育マニュアルの文書化 / 販促企画(グルメサイト・SNS)案 を含む複数ステップの業務フローを連結し、自動実行・検収します
agent,51,B5,8,1.0,AIエージェントによる店舗運営総合演習,店舗運営の一連の業務フロー(受付→処理→出力→報告)を業務エージェントに委任し、実行・検収・修正までを通しで行います(マスキング済み又はダミーのデータを使用し、講師の添削・指導つき)
agent,51,C1,9,1.5,店長業務エージェントの整備,業務指示書・エージェント設定・運用手順・利用ルールを1式にまとめ、動作確認まで完了させます
agent,51,C2,10,0.5,業務エージェントの業務フロー配置,どの工程をAIエージェントに委任し、どこに人の確認ポイントを置くかをマッピングします
agent,51,D1,11,1.0,業務エージェントの運用・監督演習,実行結果の検収手順、想定外の出力・エラー時の停止と修正、業務指示書の改善(再指示・更新)の手順を演習形式で習得します
agent,51,D2,12,0.5,委任範囲と確認体制の策定演習,機密情報・実行権限・承認フローなど、自身の業務に即した委任ルールと確認体制を演習で作成します
agent,51,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,業務エージェントを日次・週次業務のどの工程に組み込むかの計画をまとめ、講師が個別に添削・フィードバックします
agent,52,B0,1,0.5,調理・キッチン管理職業務のAIエージェント活用実演・要点解説,講師が本コースで扱う一連の業務工程をAIエージェントに委任し、実行から検収までを通しで実演します
agent,52,B11,2,0.5,厨房業務の工程分解・基礎,自動化する定型業務の選定と工程分解(入力→手順→出力→判断基準)。題材: レシピの標準化文書(分量・手順) など
agent,52,B12,3,1.0,厨房業務の業務指示書作成・実践,AIエージェントに委任するための業務指示書を作成 — 手順・判断基準・例外対応の言語化。題材: 仕込み指示書 / 衛生記録の整形 など
agent,52,B21,4,0.5,厨房業務エージェントの設定・基礎,作成した業務指示書と参照資料をAIエージェントに実装します(手順・ナレッジの登録)
agent,52,B22,5,0.5,厨房業務エージェントの設定・実践,マスキング済み又はダミーのデータでテスト実行し、動作を確認・修正します
agent,52,B3,6,1.0,AIエージェントによる厨房文書作成の自動化演習①,レシピの標準化文書(分量・手順) / 仕込み指示書 / 衛生記録の整形 の一連工程を委任し、実行結果を検収・修正します
agent,52,B4,7,1.0,AIエージェントによるメニュー開発の自動化演習②,新メニューの原価シミュレーション / アレルギー対応一覧の整備 を含む複数ステップの業務フローを連結し、自動実行・検収します
agent,52,B5,8,1.0,AIエージェントによるメニュー開発総合演習,メニュー開発の一連の業務フロー(受付→処理→出力→報告)を業務エージェントに委任し、実行・検収・修正までを通しで行います(マスキング済み又はダミーのデータを使用し、講師の添削・指導つき)
agent,52,C1,9,1.5,厨房業務エージェントの整備,業務指示書・エージェント設定・運用手順・利用ルールを1式にまとめ、動作確認まで完了させます
agent,52,C2,10,0.5,業務エージェントの業務フロー配置,どの工程をAIエージェントに委任し、どこに人の確認ポイントを置くかをマッピングします
agent,52,D1,11,1.0,業務エージェントの運用・監督演習,実行結果の検収手順、想定外の出力・エラー時の停止と修正、業務指示書の改善(再指示・更新)の手順を演習形式で習得します
agent,52,D2,12,0.5,委任範囲と確認体制の策定演習,機密情報・実行権限・承認フローなど、自身の業務に即した委任ルールと確認体制を演習で作成します
agent,52,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,業務エージェントを日次・週次業務のどの工程に組み込むかの計画をまとめ、講師が個別に添削・フィードバックします
agent,53,B0,1,0.5,宿泊フロント職業務のAIエージェント活用実演・要点解説,講師が本コースで扱う一連の業務工程をAIエージェントに委任し、実行から検収までを通しで実演します
agent,53,B11,2,0.5,フロント業務の工程分解・基礎,自動化する定型業務の選定と工程分解(入力→手順→出力→判断基準)。題材: 予約確認・アップセル案内メール(多言語対応) など
agent,53,B12,3,1.0,フロント業務の業務指示書作成・実践,AIエージェントに委任するための業務指示書を作成 — 手順・判断基準・例外対応の言語化。題材: 口コミ返信 / 館内案内文 など
agent,53,B21,4,0.5,フロント業務エージェントの設定・基礎,作成した業務指示書と参照資料をAIエージェントに実装します(手順・ナレッジの登録)
agent,53,B22,5,0.5,フロント業務エージェントの設定・実践,マスキング済み又はダミーのデータでテスト実行し、動作を確認・修正します
agent,53,B3,6,1.0,AIエージェントによる宿泊文書作成の自動化演習①,予約確認・アップセル案内メール(多言語対応) / 口コミ返信 / 館内案内文 の一連工程を委任し、実行結果を検収・修正します
agent,53,B4,7,1.0,AIエージェントによるおもてなしの自動化演習②,周辺観光案内の作成(多言語) / 繁忙期オペレーションの文書化 を含む複数ステップの業務フローを連結し、自動実行・検収します
agent,53,B5,8,1.0,AIエージェントによるおもてなし総合演習,おもてなしの一連の業務フロー(受付→処理→出力→報告)を業務エージェントに委任し、実行・検収・修正までを通しで行います(マスキング済み又はダミーのデータを使用し、講師の添削・指導つき)
agent,53,C1,9,1.5,フロント業務エージェントの整備,業務指示書・エージェント設定・運用手順・利用ルールを1式にまとめ、動作確認まで完了させます
agent,53,C2,10,0.5,業務エージェントの業務フロー配置,どの工程をAIエージェントに委任し、どこに人の確認ポイントを置くかをマッピングします
agent,53,D1,11,1.0,業務エージェントの運用・監督演習,実行結果の検収手順、想定外の出力・エラー時の停止と修正、業務指示書の改善(再指示・更新)の手順を演習形式で習得します
agent,53,D2,12,0.5,委任範囲と確認体制の策定演習,機密情報・実行権限・承認フローなど、自身の業務に即した委任ルールと確認体制を演習で作成します
agent,53,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,業務エージェントを日次・週次業務のどの工程に組み込むかの計画をまとめ、講師が個別に添削・フィードバックします
agent,54,B0,1,0.5,美容師・サロン運営職業務のAIエージェント活用実演・要点解説,講師が本コースで扱う一連の業務工程をAIエージェントに委任し、実行から検収までを通しで実演します
agent,54,B11,2,0.5,サロン業務の工程分解・基礎,自動化する定型業務の選定と工程分解(入力→手順→出力→判断基準)。題材: カウンセリング記録の整形 など
agent,54,B12,3,1.0,サロン業務の業務指示書作成・実践,AIエージェントに委任するための業務指示書を作成 — 手順・判断基準・例外対応の言語化。題材: 指名客へのフォローLINE / キャンペーン告知 など
agent,54,B21,4,0.5,サロン業務エージェントの設定・基礎,作成した業務指示書と参照資料をAIエージェントに実装します(手順・ナレッジの登録)
agent,54,B22,5,0.5,サロン業務エージェントの設定・実践,マスキング済み又はダミーのデータでテスト実行し、動作を確認・修正します
agent,54,B3,6,1.0,AIエージェントによる顧客文書作成の自動化演習①,カウンセリング記録の整形 / 指名客へのフォローLINE / キャンペーン告知 の一連工程を委任し、実行結果を検収・修正します
agent,54,B4,7,1.0,AIエージェントによる集客の自動化演習②,スタイル紹介文(SNS投稿) / 失客リストへの再来店アプローチ文 を含む複数ステップの業務フローを連結し、自動実行・検収します
agent,54,B5,8,1.0,AIエージェントによる集客総合演習,集客の一連の業務フロー(受付→処理→出力→報告)を業務エージェントに委任し、実行・検収・修正までを通しで行います(マスキング済み又はダミーのデータを使用し、講師の添削・指導つき)
agent,54,C1,9,1.5,サロン業務エージェントの整備,業務指示書・エージェント設定・運用手順・利用ルールを1式にまとめ、動作確認まで完了させます
agent,54,C2,10,0.5,業務エージェントの業務フロー配置,どの工程をAIエージェントに委任し、どこに人の確認ポイントを置くかをマッピングします
agent,54,D1,11,1.0,業務エージェントの運用・監督演習,実行結果の検収手順、想定外の出力・エラー時の停止と修正、業務指示書の改善(再指示・更新)の手順を演習形式で習得します
agent,54,D2,12,0.5,委任範囲と確認体制の策定演習,機密情報・実行権限・承認フローなど、自身の業務に即した委任ルールと確認体制を演習で作成します
agent,54,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,業務エージェントを日次・週次業務のどの工程に組み込むかの計画をまとめ、講師が個別に添削・フィードバックします
agent,55,B0,1,0.5,エステ・リラクゼーション職業務のAIエージェント活用実演・要点解説,講師が本コースで扱う一連の業務工程をAIエージェントに委任し、実行から検収までを通しで実演します
agent,55,B11,2,0.5,接客業務の工程分解・基礎,自動化する定型業務の選定と工程分解(入力→手順→出力→判断基準)。題材: カウンセリングシートの記録整形 など
agent,55,B12,3,1.0,接客業務の業務指示書作成・実践,AIエージェントに委任するための業務指示書を作成 — 手順・判断基準・例外対応の言語化。題材: 施術後のホームケア案内 / コース説明文 など
agent,55,B21,4,0.5,接客業務エージェントの設定・基礎,作成した業務指示書と参照資料をAIエージェントに実装します(手順・ナレッジの登録)
agent,55,B22,5,0.5,接客業務エージェントの設定・実践,マスキング済み又はダミーのデータでテスト実行し、動作を確認・修正します
agent,55,B3,6,1.0,AIエージェントによる接客文書作成の自動化演習①,カウンセリングシートの記録整形 / 施術後のホームケア案内 / コース説明文 の一連工程を委任し、実行結果を検収・修正します
agent,55,B4,7,1.0,AIエージェントによる提案の自動化演習②,回数券・コース提案のトーク整理 / 季節キャンペーン企画案 を含む複数ステップの業務フローを連結し、自動実行・検収します
agent,55,B5,8,1.0,AIエージェントによる提案総合演習,提案の一連の業務フロー(受付→処理→出力→報告)を業務エージェントに委任し、実行・検収・修正までを通しで行います(マスキング済み又はダミーのデータを使用し、講師の添削・指導つき)
agent,55,C1,9,1.5,接客業務エージェントの整備,業務指示書・エージェント設定・運用手順・利用ルールを1式にまとめ、動作確認まで完了させます
agent,55,C2,10,0.5,業務エージェントの業務フロー配置,どの工程をAIエージェントに委任し、どこに人の確認ポイントを置くかをマッピングします
agent,55,D1,11,1.0,業務エージェントの運用・監督演習,実行結果の検収手順、想定外の出力・エラー時の停止と修正、業務指示書の改善(再指示・更新)の手順を演習形式で習得します
agent,55,D2,12,0.5,委任範囲と確認体制の策定演習,機密情報・実行権限・承認フローなど、自身の業務に即した委任ルールと確認体制を演習で作成します
agent,55,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,業務エージェントを日次・週次業務のどの工程に組み込むかの計画をまとめ、講師が個別に添削・フィードバックします
agent,56,B0,1,0.5,コールセンター・CS職業務のAIエージェント活用実演・要点解説,講師が本コースで扱う一連の業務工程をAIエージェントに委任し、実行から検収までを通しで実演します
agent,56,B11,2,0.5,応対業務の工程分解・基礎,自動化する定型業務の選定と工程分解(入力→手順→出力→判断基準)。題材: 応対履歴の要約入力 など
agent,56,B12,3,1.0,応対業務の業務指示書作成・実践,AIエージェントに委任するための業務指示書を作成 — 手順・判断基準・例外対応の言語化。題材: 折り返し・エスカレーション報告 / 謝罪メール など
agent,56,B21,4,0.5,応対業務エージェントの設定・基礎,作成した業務指示書と参照資料をAIエージェントに実装します(手順・ナレッジの登録)
agent,56,B22,5,0.5,応対業務エージェントの設定・実践,マスキング済み又はダミーのデータでテスト実行し、動作を確認・修正します
agent,56,B3,6,1.0,AIエージェントによる応対文書作成の自動化演習①,応対履歴の要約入力 / 折り返し・エスカレーション報告 / 謝罪メール の一連工程を委任し、実行結果を検収・修正します
agent,56,B4,7,1.0,AIエージェントによる品質改善の自動化演習②,FAQ・トークスクリプトの整備 / VOC(顧客の声)レポート作成 を含む複数ステップの業務フローを連結し、自動実行・検収します
agent,56,B5,8,1.0,AIエージェントによる品質改善総合演習,品質改善の一連の業務フロー(受付→処理→出力→報告)を業務エージェントに委任し、実行・検収・修正までを通しで行います(マスキング済み又はダミーのデータを使用し、講師の添削・指導つき)
agent,56,C1,9,1.5,応対業務エージェントの整備,業務指示書・エージェント設定・運用手順・利用ルールを1式にまとめ、動作確認まで完了させます
agent,56,C2,10,0.5,業務エージェントの業務フロー配置,どの工程をAIエージェントに委任し、どこに人の確認ポイントを置くかをマッピングします
agent,56,D1,11,1.0,業務エージェントの運用・監督演習,実行結果の検収手順、想定外の出力・エラー時の停止と修正、業務指示書の改善(再指示・更新)の手順を演習形式で習得します
agent,56,D2,12,0.5,委任範囲と確認体制の策定演習,機密情報・実行権限・承認フローなど、自身の業務に即した委任ルールと確認体制を演習で作成します
agent,56,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,業務エージェントを日次・週次業務のどの工程に組み込むかの計画をまとめ、講師が個別に添削・フィードバックします
agent,57,B0,1,0.5,フィットネストレーナー職業務のAIエージェント活用実演・要点解説,講師が本コースで扱う一連の業務工程をAIエージェントに委任し、実行から検収までを通しで実演します
agent,57,B11,2,0.5,会員対応の工程分解・基礎,自動化する定型業務の選定と工程分解(入力→手順→出力→判断基準)。題材: 体験者へのフォロー連絡 など
agent,57,B12,3,1.0,会員対応の業務指示書作成・実践,AIエージェントに委任するための業務指示書を作成 — 手順・判断基準・例外対応の言語化。題材: セッション記録の整形 / 継続面談の準備メモ など
agent,57,B21,4,0.5,会員対応エージェントの設定・基礎,作成した業務指示書と参照資料をAIエージェントに実装します(手順・ナレッジの登録)
agent,57,B22,5,0.5,会員対応エージェントの設定・実践,マスキング済み又はダミーのデータでテスト実行し、動作を確認・修正します
agent,57,B3,6,1.0,AIエージェントによる会員文書作成の自動化演習①,体験者へのフォロー連絡 / セッション記録の整形 / 継続面談の準備メモ の一連工程を委任し、実行結果を検収・修正します
agent,57,B4,7,1.0,AIエージェントによる指導準備の自動化演習②,一般的なトレーニングメニュー例の文書化(個別の医学的判断は対象外) / SNS発信文 を含む複数ステップの業務フローを連結し、自動実行・検収します
agent,57,B5,8,1.0,AIエージェントによる指導準備総合演習,指導準備の一連の業務フロー(受付→処理→出力→報告)を業務エージェントに委任し、実行・検収・修正までを通しで行います(マスキング済み又はダミーのデータを使用し、講師の添削・指導つき)
agent,57,C1,9,1.5,会員対応業務エージェントの整備,業務指示書・エージェント設定・運用手順・利用ルールを1式にまとめ、動作確認まで完了させます
agent,57,C2,10,0.5,業務エージェントの業務フロー配置,どの工程をAIエージェントに委任し、どこに人の確認ポイントを置くかをマッピングします
agent,57,D1,11,1.0,業務エージェントの運用・監督演習,実行結果の検収手順、想定外の出力・エラー時の停止と修正、業務指示書の改善(再指示・更新)の手順を演習形式で習得します
agent,57,D2,12,0.5,委任範囲と確認体制の策定演習,機密情報・実行権限・承認フローなど、自身の業務に即した委任ルールと確認体制を演習で作成します
agent,57,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,業務エージェントを日次・週次業務のどの工程に組み込むかの計画をまとめ、講師が個別に添削・フィードバックします
agent,58,B0,1,0.5,葬祭ディレクター職業務のAIエージェント活用実演・要点解説,講師が本コースで扱う一連の業務工程をAIエージェントに委任し、実行から検収までを通しで実演します
agent,58,B11,2,0.5,施行業務の工程分解・基礎,自動化する定型業務の選定と工程分解(入力→手順→出力→判断基準)。題材: 打合せ確認書の作成 など
agent,58,B12,3,1.0,施行業務の業務指示書作成・実践,AIエージェントに委任するための業務指示書を作成 — 手順・判断基準・例外対応の言語化。題材: 供花・返礼品の案内文 / 寺院・式場への連絡文 など
agent,58,B21,4,0.5,施行業務エージェントの設定・基礎,作成した業務指示書と参照資料をAIエージェントに実装します(手順・ナレッジの登録)
agent,58,B22,5,0.5,施行業務エージェントの設定・実践,マスキング済み又はダミーのデータでテスト実行し、動作を確認・修正します
agent,58,B3,6,1.0,AIエージェントによる施行文書作成の自動化演習①,打合せ確認書の作成 / 供花・返礼品の案内文 / 寺院・式場への連絡文 の一連工程を委任し、実行結果を検収・修正します
agent,58,B4,7,1.0,AIエージェントによる相談・フォローの自動化演習②,事前相談会の案内資料 / 施行後のアフターフォロー文(法要案内) を含む複数ステップの業務フローを連結し、自動実行・検収します
agent,58,B5,8,1.0,AIエージェントによる相談・フォロー総合演習,相談・フォローの一連の業務フロー(受付→処理→出力→報告)を業務エージェントに委任し、実行・検収・修正までを通しで行います(マスキング済み又はダミーのデータを使用し、講師の添削・指導つき)
agent,58,C1,9,1.5,施行業務エージェントの整備,業務指示書・エージェント設定・運用手順・利用ルールを1式にまとめ、動作確認まで完了させます
agent,58,C2,10,0.5,業務エージェントの業務フロー配置,どの工程をAIエージェントに委任し、どこに人の確認ポイントを置くかをマッピングします
agent,58,D1,11,1.0,業務エージェントの運用・監督演習,実行結果の検収手順、想定外の出力・エラー時の停止と修正、業務指示書の改善(再指示・更新)の手順を演習形式で習得します
agent,58,D2,12,0.5,委任範囲と確認体制の策定演習,機密情報・実行権限・承認フローなど、自身の業務に即した委任ルールと確認体制を演習で作成します
agent,58,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,業務エージェントを日次・週次業務のどの工程に組み込むかの計画をまとめ、講師が個別に添削・フィードバックします
agent,59,B0,1,0.5,税理士補助職業務のAIエージェント活用実演・要点解説,講師が本コースで扱う一連の業務工程をAIエージェントに委任し、実行から検収までを通しで実演します
agent,59,B11,2,0.5,事務所業務の工程分解・基礎,自動化する定型業務の選定と工程分解(入力→手順→出力→判断基準)。題材: 資料依頼文 など
agent,59,B12,3,1.0,事務所業務の業務指示書作成・実践,AIエージェントに委任するための業務指示書を作成 — 手順・判断基準・例外対応の言語化。題材: 月次報告の所見文下書き / 年末調整の案内文 など
agent,59,B21,4,0.5,事務所業務エージェントの設定・基礎,作成した業務指示書と参照資料をAIエージェントに実装します(手順・ナレッジの登録)
agent,59,B22,5,0.5,事務所業務エージェントの設定・実践,マスキング済み又はダミーのデータでテスト実行し、動作を確認・修正します
agent,59,B3,6,1.0,AIエージェントによる顧問先文書作成の自動化演習①,資料依頼文 / 月次報告の所見文下書き / 年末調整の案内文 の一連工程を委任し、実行結果を検収・修正します
agent,59,B4,7,1.0,AIエージェントによる顧問業務の自動化演習②,税制改正情報の要約と顧問先向け案内(最終確認は有資格者) / 決算スケジュール管理表 を含む複数ステップの業務フローを連結し、自動実行・検収します
agent,59,B5,8,1.0,AIエージェントによる顧問業務総合演習,顧問業務の一連の業務フロー(受付→処理→出力→報告)を業務エージェントに委任し、実行・検収・修正までを通しで行います(マスキング済み又はダミーのデータを使用し、講師の添削・指導つき)
agent,59,C1,9,1.5,事務所業務エージェントの整備,業務指示書・エージェント設定・運用手順・利用ルールを1式にまとめ、動作確認まで完了させます
agent,59,C2,10,0.5,業務エージェントの業務フロー配置,どの工程をAIエージェントに委任し、どこに人の確認ポイントを置くかをマッピングします
agent,59,D1,11,1.0,業務エージェントの運用・監督演習,実行結果の検収手順、想定外の出力・エラー時の停止と修正、業務指示書の改善(再指示・更新)の手順を演習形式で習得します
agent,59,D2,12,0.5,委任範囲と確認体制の策定演習,機密情報・実行権限・承認フローなど、自身の業務に即した委任ルールと確認体制を演習で作成します
agent,59,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,業務エージェントを日次・週次業務のどの工程に組み込むかの計画をまとめ、講師が個別に添削・フィードバックします
agent,60,B0,1,0.5,社労士補助職業務のAIエージェント活用実演・要点解説,講師が本コースで扱う一連の業務工程をAIエージェントに委任し、実行から検収までを通しで実演します
agent,60,B11,2,0.5,事務所業務の工程分解・基礎,自動化する定型業務の選定と工程分解(入力→手順→出力→判断基準)。題材: 入退社・育休等の手続き案内文 など
agent,60,B12,3,1.0,事務所業務の業務指示書作成・実践,AIエージェントに委任するための業務指示書を作成 — 手順・判断基準・例外対応の言語化。題材: 顧問先への確認依頼文 など
agent,60,B21,4,0.5,事務所業務エージェントの設定・基礎,作成した業務指示書と参照資料をAIエージェントに実装します(手順・ナレッジの登録)
agent,60,B22,5,0.5,事務所業務エージェントの設定・実践,マスキング済み又はダミーのデータでテスト実行し、動作を確認・修正します
agent,60,B3,6,1.0,AIエージェントによる手続き文書作成の自動化演習①,入退社・育休等の手続き案内文 / 顧問先への確認依頼文 の一連工程を委任し、実行結果を検収・修正します
agent,60,B4,7,1.0,AIエージェントによる顧問支援の自動化演習②,法改正の要約と顧問先向けニュースレター下書き / 就業規則改定の変更点整理 を含む複数ステップの業務フローを連結し、自動実行・検収します
agent,60,B5,8,1.0,AIエージェントによる顧問支援総合演習,顧問支援の一連の業務フロー(受付→処理→出力→報告)を業務エージェントに委任し、実行・検収・修正までを通しで行います(マスキング済み又はダミーのデータを使用し、講師の添削・指導つき)
agent,60,C1,9,1.5,事務所業務エージェントの整備,業務指示書・エージェント設定・運用手順・利用ルールを1式にまとめ、動作確認まで完了させます
agent,60,C2,10,0.5,業務エージェントの業務フロー配置,どの工程をAIエージェントに委任し、どこに人の確認ポイントを置くかをマッピングします
agent,60,D1,11,1.0,業務エージェントの運用・監督演習,実行結果の検収手順、想定外の出力・エラー時の停止と修正、業務指示書の改善(再指示・更新)の手順を演習形式で習得します
agent,60,D2,12,0.5,委任範囲と確認体制の策定演習,機密情報・実行権限・承認フローなど、自身の業務に即した委任ルールと確認体制を演習で作成します
agent,60,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,業務エージェントを日次・週次業務のどの工程に組み込むかの計画をまとめ、講師が個別に添削・フィードバックします
agent,61,B0,1,0.5,司法書士・行政書士補助職業務のAIエージェント活用実演・要点解説,講師が本コースで扱う一連の業務工程をAIエージェントに委任し、実行から検収までを通しで実演します
agent,61,B11,2,0.5,事務所業務の工程分解・基礎,自動化する定型業務の選定と工程分解(入力→手順→出力→判断基準)。題材: 必要書類の案内文 など
agent,61,B12,3,1.0,事務所業務の業務指示書作成・実践,AIエージェントに委任するための業務指示書を作成 — 手順・判断基準・例外対応の言語化。題材: 進捗報告文 / 官公署への問い合わせ文 など
agent,61,B21,4,0.5,事務所業務エージェントの設定・基礎,作成した業務指示書と参照資料をAIエージェントに実装します(手順・ナレッジの登録)
agent,61,B22,5,0.5,事務所業務エージェントの設定・実践,マスキング済み又はダミーのデータでテスト実行し、動作を確認・修正します
agent,61,B3,6,1.0,AIエージェントによる依頼者文書作成の自動化演習①,必要書類の案内文 / 進捗報告文 / 官公署への問い合わせ文 の一連工程を委任し、実行結果を検収・修正します
agent,61,B4,7,1.0,AIエージェントによる調査の自動化演習②,許認可要件の調査整理(最終判断は有資格者) / 定型申請書の下書き効率化 を含む複数ステップの業務フローを連結し、自動実行・検収します
agent,61,B5,8,1.0,AIエージェントによる調査総合演習,調査の一連の業務フロー(受付→処理→出力→報告)を業務エージェントに委任し、実行・検収・修正までを通しで行います(マスキング済み又はダミーのデータを使用し、講師の添削・指導つき)
agent,61,C1,9,1.5,事務所業務エージェントの整備,業務指示書・エージェント設定・運用手順・利用ルールを1式にまとめ、動作確認まで完了させます
agent,61,C2,10,0.5,業務エージェントの業務フロー配置,どの工程をAIエージェントに委任し、どこに人の確認ポイントを置くかをマッピングします
agent,61,D1,11,1.0,業務エージェントの運用・監督演習,実行結果の検収手順、想定外の出力・エラー時の停止と修正、業務指示書の改善(再指示・更新)の手順を演習形式で習得します
agent,61,D2,12,0.5,委任範囲と確認体制の策定演習,機密情報・実行権限・承認フローなど、自身の業務に即した委任ルールと確認体制を演習で作成します
agent,61,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,業務エージェントを日次・週次業務のどの工程に組み込むかの計画をまとめ、講師が個別に添削・フィードバックします
agent,62,B0,1,0.5,社内SE・情報システム職業務のAIエージェント活用実演・要点解説,講師が本コースで扱う一連の業務工程をAIエージェントに委任し、実行から検収までを通しで実演します
agent,62,B11,2,0.5,運用業務の工程分解・基礎,自動化する定型業務の選定と工程分解(入力→手順→出力→判断基準)。題材: 障害報告・メンテナンス告知文 など
agent,62,B12,3,1.0,運用業務の業務指示書作成・実践,AIエージェントに委任するための業務指示書を作成 — 手順・判断基準・例外対応の言語化。題材: ヘルプデスク回答文 など
agent,62,B21,4,0.5,運用業務エージェントの設定・基礎,作成した業務指示書と参照資料をAIエージェントに実装します(手順・ナレッジの登録)
agent,62,B22,5,0.5,運用業務エージェントの設定・実践,マスキング済み又はダミーのデータでテスト実行し、動作を確認・修正します
agent,62,B3,6,1.0,AIエージェントによるIT文書作成の自動化演習①,障害報告・メンテナンス告知文 / ヘルプデスク回答文 の一連工程を委任し、実行結果を検収・修正します
agent,62,B4,7,1.0,AIエージェントによる運用改善の自動化演習②,操作手順書の作成 / 簡易スクリプト(GAS等)の作成補助 を含む複数ステップの業務フローを連結し、自動実行・検収します
agent,62,B5,8,1.0,AIエージェントによる運用改善総合演習,運用改善の一連の業務フロー(受付→処理→出力→報告)を業務エージェントに委任し、実行・検収・修正までを通しで行います(マスキング済み又はダミーのデータを使用し、講師の添削・指導つき)
agent,62,C1,9,1.5,運用業務エージェントの整備,業務指示書・エージェント設定・運用手順・利用ルールを1式にまとめ、動作確認まで完了させます
agent,62,C2,10,0.5,業務エージェントの業務フロー配置,どの工程をAIエージェントに委任し、どこに人の確認ポイントを置くかをマッピングします
agent,62,D1,11,1.0,業務エージェントの運用・監督演習,実行結果の検収手順、想定外の出力・エラー時の停止と修正、業務指示書の改善(再指示・更新)の手順を演習形式で習得します
agent,62,D2,12,0.5,委任範囲と確認体制の策定演習,機密情報・実行権限・承認フローなど、自身の業務に即した委任ルールと確認体制を演習で作成します
agent,62,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,業務エージェントを日次・週次業務のどの工程に組み込むかの計画をまとめ、講師が個別に添削・フィードバックします
agent,63,B0,1,0.5,Webエンジニア職業務のAIエージェント活用実演・要点解説,講師が本コースで扱う一連の業務工程をAIエージェントに委任し、実行から検収までを通しで実演します
agent,63,B11,2,0.5,開発業務の工程分解・基礎,自動化する定型業務の選定と工程分解(入力→手順→出力→判断基準)。題材: 仕様確認の質問文 など
agent,63,B12,3,1.0,開発業務の業務指示書作成・実践,AIエージェントに委任するための業務指示書を作成 — 手順・判断基準・例外対応の言語化。題材: リリースノート / 不具合報告への返信 など
agent,63,B21,4,0.5,開発業務エージェントの設定・基礎,作成した業務指示書と参照資料をAIエージェントに実装します(手順・ナレッジの登録)
agent,63,B22,5,0.5,開発業務エージェントの設定・実践,マスキング済み又はダミーのデータでテスト実行し、動作を確認・修正します
agent,63,B3,6,1.0,AIエージェントによる開発文書作成の自動化演習①,仕様確認の質問文 / リリースノート / 不具合報告への返信 の一連工程を委任し、実行結果を検収・修正します
agent,63,B4,7,1.0,AIエージェントによる開発の自動化演習②,AIペアプログラミング(コードレビュー補助・リファクタ提案) / 技術調査の要約 を含む複数ステップの業務フローを連結し、自動実行・検収します
agent,63,B5,8,1.0,AIエージェントによる開発総合演習,開発の一連の業務フロー(受付→処理→出力→報告)を業務エージェントに委任し、実行・検収・修正までを通しで行います(マスキング済み又はダミーのデータを使用し、講師の添削・指導つき)
agent,63,C1,9,1.5,開発業務エージェントの整備,業務指示書・エージェント設定・運用手順・利用ルールを1式にまとめ、動作確認まで完了させます
agent,63,C2,10,0.5,業務エージェントの業務フロー配置,どの工程をAIエージェントに委任し、どこに人の確認ポイントを置くかをマッピングします
agent,63,D1,11,1.0,業務エージェントの運用・監督演習,実行結果の検収手順、想定外の出力・エラー時の停止と修正、業務指示書の改善(再指示・更新)の手順を演習形式で習得します
agent,63,D2,12,0.5,委任範囲と確認体制の策定演習,機密情報・実行権限・承認フローなど、自身の業務に即した委任ルールと確認体制を演習で作成します
agent,63,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,業務エージェントを日次・週次業務のどの工程に組み込むかの計画をまとめ、講師が個別に添削・フィードバックします
